time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity,activity_labeled
26250,45.0,0.0,14.75,3.49,22.0,1.22,bending1,0
26500,45.0,0.0,18.25,1.79,24.5,0.87,bending1,0
26750,45.0,0.0,19.5,6.18,23.0,3.56,bending1,0
27000,45.0,0.0,17.0,1.41,23.75,0.43,bending1,0
27250,45.0,0.0,15.25,4.55,24.5,1.5,bending1,0
27750,45.0,0.0,19.0,10.03,22.75,5.26,bending1,0
28500,45.0,0.0,20.25,1.3,25.0,0.71,bending1,0
36000,46.75,1.09,21.0,0.0,23.5,0.5,bending1,0
36250,45.25,0.43,19.75,1.3,23.25,0.83,bending1,0
36500,44.25,0.83,21.5,1.5,21.0,0.0,bending1,0
37000,43.25,0.83,20.33,0.94,21.67,0.94,bending1,0
37250,43.5,0.5,14.0,3.24,20.0,2.55,bending1,0
37500,44.0,0.71,12.0,0.71,22.0,1.22,bending1,0
37750,44.75,0.43,12.0,2.45,21.33,2.05,bending1,0
38000,45.0,0.0,12.5,2.29,22.25,0.83,bending1,0
38250,45.0,0.0,14.0,3.08,22.0,0.0,bending1,0
38500,45.0,0.0,16.75,1.3,22.0,1.0,bending1,0
38750,44.5,0.5,14.75,1.79,23.25,1.3,bending1,0
39000,44.5,0.5,16.0,0.0,23.25,0.43,bending1,0
39250,44.0,0.82,18.67,0.47,21.67,0.47,bending1,0
39500,44.5,0.5,18.5,1.5,21.0,0.0,bending1,0
39750,44.0,0.71,18.25,1.09,21.0,0.0,bending1,0
40000,43.75,0.43,20.0,1.22,20.0,1.73,bending1,0
40250,43.75,0.83,19.25,0.83,21.5,0.87,bending1,0
40500,44.0,0.0,19.25,0.43,21.75,0.83,bending1,0
40750,43.75,0.83,18.67,0.47,21.0,0.82,bending1,0
41000,43.5,0.5,20.75,0.43,20.75,0.43,bending1,0
41250,43.5,0.5,19.5,1.5,21.0,0.71,bending1,0
41500,43.67,0.47,20.75,0.43,21.67,0.94,bending1,0
41750,43.5,0.5,18.5,0.87,21.5,1.12,bending1,0
42000,43.33,0.47,18.67,0.94,20.5,1.12,bending1,0
42250,43.5,0.5,19.75,1.64,20.5,0.5,bending1,0
42500,43.5,0.5,19.25,0.83,20.0,0.71,bending1,0
42750,43.5,0.5,18.75,0.83,19.75,1.92,bending1,0
43000,43.5,0.5,17.33,0.47,19.33,1.7,bending1,0
43250,43.5,0.5,17.5,0.5,19.5,1.66,bending1,0
43500,43.5,0.5,18.75,0.43,20.0,1.22,bending1,0
43750,43.5,0.5,18.8,0.75,21.4,0.49,bending1,0
44000,43.75,0.43,18.0,0.0,21.0,0.0,bending1,0
44250,43.5,0.5,19.5,1.12,20.5,0.5,bending1,0
44500,43.5,0.5,19.75,0.83,20.5,0.5,bending1,0
44750,43.75,0.43,18.0,0.0,20.75,0.43,bending1,0
45000,43.75,0.43,17.5,0.5,21.25,0.43,bending1,0
45250,44.0,0.82,17.0,0.71,20.33,0.94,bending1,0
45500,42.0,0.0,16.75,1.3,14.0,0.82,bending1,0
45750,42.0,0.0,19.0,1.22,15.5,0.87,bending1,0
46000,42.0,0.0,16.75,1.3,20.5,2.87,bending1,0
46250,42.0,0.0,15.0,0.0,23.0,0.71,bending1,0
46500,42.25,0.43,14.0,0.71,22.0,0.71,bending1,0
46750,42.75,0.83,13.5,0.5,22.0,0.0,bending1,0
47000,43.5,0.5,17.5,0.87,21.5,0.5,bending1,0
47250,43.0,0.0,16.33,0.47,24.0,0.71,bending1,0
47500,44.25,0.43,6.25,3.34,24.0,0.0,bending1,0
47750,43.75,0.83,11.75,1.09,24.0,0.0,bending1,0
48000,43.5,0.5,12.0,2.12,24.0,0.0,bending1,0
48250,43.25,0.83,12.5,0.5,23.25,0.43,bending1,0
48500,43.25,0.83,13.67,0.47,23.67,0.47,bending1,0
48750,42.67,0.47,12.25,0.43,24.0,0.0,bending1,0
49000,42.0,0.0,13.0,1.0,22.67,0.47,bending1,0
49250,42.0,0.0,14.0,0.0,23.0,0.71,bending1,0
49500,42.0,0.0,12.33,1.25,22.25,0.43,bending1,0
49750,42.0,0.0,14.25,0.83,21.75,0.43,bending1,0
50000,42.0,0.0,15.0,0.0,21.75,0.83,bending1,0
50250,42.0,0.0,15.5,0.5,22.75,0.43,bending1,0
50500,42.25,0.43,15.67,0.94,22.67,0.47,bending1,0
50750,42.0,0.0,12.67,0.94,22.5,0.5,bending1,0
51000,42.0,0.0,12.0,0.0,21.0,0.0,bending1,0
51250,42.25,0.43,13.75,1.79,21.5,0.5,bending1,0
51500,42.33,0.47,14.75,1.79,21.33,2.05,bending1,0
51750,42.0,0.0,16.33,0.47,23.0,0.71,bending1,0
52000,42.25,0.43,15.75,0.83,23.25,1.3,bending1,0
52250,42.0,0.0,15.75,1.48,24.25,0.43,bending1,0
52500,42.0,0.0,13.25,1.79,24.25,0.43,bending1,0
52750,42.0,0.0,16.25,1.09,23.5,0.87,bending1,0
53000,42.0,0.0,14.0,1.22,20.5,0.5,bending1,0
53250,42.25,0.43,15.5,2.29,22.75,1.3,bending1,0
53500,42.0,0.0,9.0,4.5,22.75,1.3,bending1,0
53750,42.0,0.0,10.5,1.5,24.75,0.83,bending1,0
54000,42.0,0.0,14.0,3.09,23.0,1.96,bending1,0
54250,42.0,0.0,14.0,3.09,23.0,1.96,bending1,0
54500,42.0,0.0,10.5,1.5,24.75,0.83,bending1,0
55000,43.33,0.94,6.5,4.5,23.5,0.87,bending1,0
55250,41.5,0.87,10.0,1.41,20.0,1.22,bending1,0
55500,39.5,0.87,12.75,0.83,15.25,1.09,bending1,0
55750,39.75,0.83,13.67,1.25,13.75,1.3,bending1,0
56000,39.25,0.43,15.75,0.83,11.0,1.0,bending1,0
56250,39.0,0.0,16.0,1.22,10.0,2.16,bending1,0
56500,39.25,0.43,15.67,2.05,14.67,2.05,bending1,0
56750,41.67,0.47,16.0,1.22,20.33,1.25,bending1,0
57000,44.0,0.71,17.0,0.71,23.5,0.87,bending1,0
57250,44.33,0.47,18.0,0.0,24.0,0.0,bending1,0
57500,44.0,0.71,16.5,1.5,24.25,0.43,bending1,0
57750,42.75,0.83,11.25,0.43,24.25,0.43,bending1,0
58000,42.5,0.5,11.0,1.22,24.0,0.0,bending1,0
58250,43.25,0.83,16.75,1.09,24.25,0.43,bending1,0
58500,44.75,0.43,19.5,1.12,23.5,1.12,bending1,0
58750,44.5,0.5,17.25,0.43,22.0,1.22,bending1,0
59000,45.0,0.0,17.67,0.47,22.0,0.82,bending1,0
59250,44.75,0.43,10.5,2.96,23.5,0.5,bending1,0
59500,44.0,0.82,11.0,2.74,23.33,0.47,bending1,0
59750,43.67,0.47,18.0,0.82,21.25,0.43,bending1,0
60000,44.25,0.83,18.5,0.5,22.0,0.71,bending1,0
60250,43.5,0.5,17.0,0.71,23.75,0.43,bending1,0
60500,43.5,0.5,15.5,2.29,24.0,0.0,bending1,0
60750,43.25,0.83,12.75,1.3,24.0,0.0,bending1,0
61000,43.25,0.83,15.25,0.43,21.0,1.22,bending1,0
61250,43.0,0.71,16.5,1.12,20.0,1.22,bending1,0
61500,43.0,0.71,14.75,1.09,21.5,1.5,bending1,0
61750,42.75,0.43,7.0,3.56,22.67,0.47,bending1,0
62000,43.25,0.43,10.75,3.77,21.5,0.5,bending1,0
62250,43.5,0.5,12.33,2.05,22.75,1.3,bending1,0
62500,44.0,0.82,11.0,2.12,22.67,0.47,bending1,0
62750,43.33,0.47,12.67,2.62,22.0,1.22,bending1,0
63000,43.33,0.47,9.0,4.24,20.0,1.0,bending1,0
63250,43.6,0.49,10.8,1.47,22.75,1.3,bending1,0
63500,44.0,0.0,12.33,0.47,22.75,0.83,bending1,0
63750,44.25,0.43,13.25,2.38,23.75,0.43,bending1,0
64000,44.5,0.5,14.75,1.3,23.75,0.43,bending1,0
64250,44.5,0.5,15.0,1.41,24.0,0.0,bending1,0
64500,44.25,0.83,16.5,1.12,24.75,0.83,bending1,0
64750,44.5,0.5,13.0,0.82,22.67,1.25,bending1,0
65000,44.5,0.5,16.25,0.83,22.5,0.87,bending1,0
65250,44.5,0.5,18.0,0.0,22.0,0.71,bending1,0
65500,44.33,0.94,17.75,0.83,22.0,1.41,bending1,0
65750,44.33,0.47,15.33,0.47,23.75,0.43,bending1,0
66000,44.25,0.83,15.25,0.43,24.25,0.43,bending1,0
66250,43.25,0.83,15.5,0.5,23.75,0.43,bending1,0
66500,42.25,0.43,15.25,0.83,23.75,0.43,bending1,0
66750,42.0,0.0,12.0,0.0,23.75,0.43,bending1,0
67000,42.0,0.0,12.0,0.0,23.5,0.87,bending1,0
67250,42.0,0.0,12.0,0.0,23.5,0.5,bending1,0
67500,42.0,0.0,13.25,0.83,23.25,0.43,bending1,0
67750,42.25,0.43,15.0,0.0,22.5,0.5,bending1,0
68000,42.5,0.5,13.5,0.5,23.0,0.71,bending1,0
68250,42.0,0.0,15.0,0.0,22.5,0.5,bending1,0
68500,42.25,0.43,15.0,0.0,22.67,0.47,bending1,0
68750,42.25,0.43,14.75,0.43,23.5,0.5,bending1,0
69000,42.25,0.43,15.0,0.0,23.25,0.83,bending1,0
69250,42.0,0.0,15.0,0.0,23.0,0.71,bending1,0
69500,42.5,0.5,14.0,1.0,23.25,0.83,bending1,0
69750,42.33,0.47,14.0,0.0,24.0,0.0,bending1,0
70000,42.5,0.5,14.25,0.43,24.0,0.0,bending1,0
70250,42.5,0.5,15.0,0.0,24.0,0.0,bending1,0
70500,42.33,0.47,15.0,0.0,24.25,0.43,bending1,0
70750,42.5,0.5,15.0,0.0,23.5,0.5,bending1,0
71000,42.5,0.5,15.0,0.0,23.0,0.71,bending1,0
71250,42.33,0.47,15.33,0.47,23.0,0.71,bending1,0
71500,42.5,0.5,15.0,0.0,23.25,0.83,bending1,0
71750,42.5,0.5,15.0,0.0,23.25,0.43,bending1,0
72000,42.5,0.5,15.0,0.0,23.0,0.71,bending1,0
72250,42.5,0.5,15.0,0.0,22.75,0.43,bending1,0
72500,42.5,0.5,15.0,0.0,23.0,0.0,bending1,0
72750,42.5,0.5,15.0,0.0,22.5,0.5,bending1,0
73000,42.5,0.5,15.0,0.0,22.75,0.43,bending1,0
73250,42.5,0.5,14.25,0.43,23.25,0.83,bending1,0
73500,42.5,0.5,15.25,0.43,23.0,0.0,bending1,0
73750,42.5,0.5,14.67,0.47,23.67,0.47,bending1,0
74000,42.5,0.5,14.25,0.43,23.75,0.43,bending1,0
74250,42.5,0.5,13.6,0.49,23.8,0.4,bending1,0
74500,42.5,0.5,12.67,0.47,23.33,0.47,bending1,0
74750,42.5,0.5,12.75,0.43,23.5,0.5,bending1,0
75000,42.5,0.5,12.75,0.43,23.5,0.5,bending1,0
75250,42.5,0.5,12.75,0.83,23.5,0.5,bending1,0
75500,42.67,0.47,13.0,0.71,23.67,0.47,bending1,0
75750,42.33,0.47,13.33,0.47,23.5,0.5,bending1,0
76000,42.33,0.47,13.67,0.47,23.0,0.71,bending1,0
76250,42.5,0.5,14.5,0.5,23.25,0.83,bending1,0
76500,42.5,0.5,15.0,0.0,22.75,0.43,bending1,0
76750,42.5,0.5,15.0,0.0,23.0,0.71,bending1,0
77000,42.5,0.5,15.0,0.0,22.5,0.5,bending1,0
77250,42.75,0.83,15.0,0.0,22.5,0.5,bending1,0
77500,42.5,0.5,15.0,0.0,23.5,0.5,bending1,0
77750,42.5,0.5,14.75,0.43,23.75,0.43,bending1,0
78000,42.5,0.5,15.0,0.0,23.5,0.5,bending1,0
78250,42.5,0.5,15.0,0.0,23.5,0.5,bending1,0
78500,42.75,0.43,15.0,0.0,23.0,0.82,bending1,0
78750,42.5,0.5,14.75,0.43,23.5,0.5,bending1,0
79000,42.67,0.47,15.0,0.0,22.67,0.47,bending1,0
79250,42.67,0.94,14.67,0.47,22.75,0.83,bending1,0
79500,42.5,0.5,15.0,0.0,22.5,0.5,bending1,0
79750,42.75,0.43,15.0,0.0,22.5,0.5,bending1,0
80000,43.25,0.83,14.75,0.43,22.5,0.5,bending1,0
80250,42.5,0.5,13.5,0.5,22.75,0.83,bending1,0
80500,43.0,0.71,14.25,0.43,22.5,0.87,bending1,0
80750,42.5,0.5,14.0,0.0,22.25,0.83,bending1,0
81000,42.75,0.43,14.5,0.5,22.5,0.5,bending1,0
81250,42.5,0.5,14.67,0.47,22.33,0.47,bending1,0
81500,42.67,0.47,15.0,0.0,23.0,0.82,bending1,0
81750,42.5,0.5,15.0,0.0,22.75,0.83,bending1,0
82000,42.67,0.47,15.0,0.0,22.5,0.5,bending1,0
82250,42.75,0.83,15.0,0.0,23.0,0.71,bending1,0
82500,43.25,0.83,15.0,0.0,23.25,0.43,bending1,0
82750,42.75,0.83,14.75,0.43,24.0,0.0,bending1,0
83000,42.67,0.47,15.0,0.0,24.0,0.0,bending1,0
83250,42.6,0.49,15.4,0.49,23.83,0.37,bending1,0
83500,43.5,0.5,16.0,0.82,23.33,0.94,bending1,0
83750,42.5,0.5,14.33,0.94,21.75,0.83,bending1,0
84000,42.5,0.5,12.67,0.47,22.33,0.94,bending1,0
84250,42.67,0.47,12.0,0.0,21.67,0.47,bending1,0
84500,42.75,0.43,12.0,0.0,21.75,0.83,bending1,0
84750,42.5,0.5,12.0,0.0,22.0,0.0,bending1,0
85000,42.67,0.47,12.33,0.47,22.25,1.09,bending1,0
85250,44.25,0.43,14.25,0.43,23.75,0.43,bending1,0
85500,44.67,0.47,14.5,0.5,24.0,0.0,bending1,0
85750,45.0,0.0,15.25,0.43,24.0,0.0,bending1,0
86000,44.75,0.43,16.0,0.0,24.5,0.5,bending1,0
86250,44.5,0.5,15.75,0.43,24.0,0.0,bending1,0
86500,44.5,0.5,15.25,0.43,24.0,0.0,bending1,0
86750,44.25,0.83,13.75,0.83,24.0,0.0,bending1,0
87000,43.5,0.5,14.0,0.71,23.5,0.5,bending1,0
87250,44.5,0.5,15.0,0.0,23.67,0.47,bending1,0
87500,44.5,0.5,14.75,0.43,24.25,0.43,bending1,0
87750,44.67,0.47,13.0,0.71,24.0,0.0,bending1,0
88000,45.0,0.0,15.0,0.0,24.25,0.43,bending1,0
88750,46.5,0.5,21.0,0.0,24.5,0.87,bending1,0
89000,45.75,0.83,20.75,0.43,22.75,0.43,bending1,0
89250,43.5,1.12,17.75,1.79,22.5,0.87,bending1,0
89500,42.5,0.5,14.25,0.83,22.25,0.43,bending1,0
89750,42.0,0.0,12.5,0.5,21.75,0.83,bending1,0
90000,42.0,0.0,12.0,0.0,22.67,0.47,bending1,0
90500,42.0,0.0,10.25,0.43,22.5,0.5,bending1,0
90750,42.0,0.0,10.5,1.12,22.33,0.47,bending1,0
91000,42.0,0.0,9.0,0.71,22.75,1.09,bending1,0
91250,42.0,0.0,9.67,0.47,22.5,1.12,bending1,0
91500,42.0,0.0,10.75,0.43,23.25,0.43,bending1,0
91750,42.0,0.0,10.0,0.0,23.0,0.0,bending1,0
92000,42.0,0.0,10.75,0.43,23.0,0.71,bending1,0
92250,42.0,0.0,11.75,0.43,23.75,0.43,bending1,0
92500,42.0,0.0,10.0,0.82,24.0,0.0,bending1,0
92750,42.0,0.0,9.75,0.43,23.75,0.43,bending1,0
93000,42.67,0.47,11.25,0.43,23.67,0.47,bending1,0
93250,42.25,0.43,10.0,0.0,23.75,0.43,bending1,0
93500,42.0,0.0,10.75,0.83,24.0,0.0,bending1,0
93750,42.5,0.5,11.5,0.87,24.0,0.0,bending1,0
94000,42.5,0.5,12.0,0.0,23.25,0.43,bending1,0
94250,42.5,0.5,11.5,0.5,23.75,0.43,bending1,0
94500,42.33,0.47,11.67,0.47,23.25,0.43,bending1,0
94750,42.25,0.43,12.0,0.0,23.75,0.43,bending1,0
95000,42.33,0.47,11.0,0.82,22.5,0.5,bending1,0
95250,42.5,0.5,11.5,0.87,22.75,0.43,bending1,0
95500,42.5,0.5,12.0,0.0,23.5,0.5,bending1,0
95750,42.5,0.5,11.5,0.5,23.5,0.5,bending1,0
96000,42.5,0.5,11.0,0.0,24.0,0.0,bending1,0
96250,42.5,0.5,11.0,0.0,24.0,0.0,bending1,0
96500,42.5,0.5,11.75,0.43,23.75,0.43,bending1,0
96750,42.5,0.5,12.0,0.0,23.67,0.47,bending1,0
97000,42.67,0.47,12.67,0.94,23.5,0.5,bending1,0
97250,42.33,0.47,12.0,0.0,24.0,0.0,bending1,0
97500,43.0,0.0,13.25,0.83,23.75,0.43,bending1,0
97750,43.0,0.0,14.0,0.71,23.25,0.43,bending1,0
98000,42.5,0.5,15.0,0.0,23.0,0.71,bending1,0
98250,42.75,0.43,15.0,0.0,23.0,1.0,bending1,0
98500,42.5,0.5,15.0,0.0,23.25,0.83,bending1,0
98750,42.5,0.5,14.75,0.43,23.5,0.5,bending1,0
99000,42.75,0.83,15.0,0.0,22.0,0.71,bending1,0
99250,43.0,0.71,14.75,0.43,22.5,0.5,bending1,0
99500,42.67,0.47,15.0,0.0,21.0,0.0,bending1,0
99750,43.0,0.0,15.0,0.0,22.67,0.47,bending1,0
100000,42.5,0.5,14.75,0.43,22.5,0.5,bending1,0
100250,42.5,0.5,12.75,0.43,22.5,1.12,bending1,0
100500,42.33,0.47,14.33,0.47,23.5,0.5,bending1,0
100750,43.0,0.71,12.0,0.71,24.0,0.0,bending1,0
101000,42.5,0.5,8.5,2.5,23.0,1.22,bending1,0
101250,42.5,0.5,13.75,1.3,21.0,0.0,bending1,0
101500,43.0,0.71,15.25,1.48,22.25,0.83,bending1,0
101750,42.5,0.5,18.0,0.0,23.5,0.5,bending1,0
102000,42.5,0.5,15.25,0.83,23.25,0.83,bending1,0
102250,42.5,0.5,14.75,0.43,22.5,0.5,bending1,0
102500,42.5,0.5,9.25,5.21,22.0,1.22,bending1,0
102750,42.5,0.5,10.75,2.28,24.0,0.0,bending1,0
103000,42.75,0.43,12.33,0.47,23.67,0.47,bending1,0
103500,42.75,0.83,6.33,0.47,24.0,0.0,bending1,0
103750,42.75,0.83,10.75,1.3,24.0,0.0,bending1,0
104000,43.0,0.82,12.25,0.43,24.0,0.0,bending1,0
104250,42.75,0.43,12.25,0.43,24.0,0.0,bending1,0
104500,42.75,0.43,12.75,0.43,23.5,0.5,bending1,0
104750,42.5,0.5,12.0,0.0,23.75,0.43,bending1,0
105000,42.67,0.47,12.67,0.47,23.5,0.5,bending1,0
105250,43.0,0.71,12.5,0.5,23.75,0.43,bending1,0
105500,43.0,0.71,12.0,0.0,23.75,0.43,bending1,0
105750,43.0,1.0,13.0,0.0,24.0,0.0,bending1,0
106000,42.75,0.83,12.0,0.0,23.75,0.43,bending1,0
106250,42.5,0.5,12.25,0.43,23.5,0.5,bending1,0
106500,42.75,0.43,12.0,0.0,23.75,0.43,bending1,0
106750,42.5,0.5,13.0,0.0,23.75,0.43,bending1,0
107000,42.5,0.5,13.25,0.43,23.5,0.5,bending1,0
107250,43.0,0.71,12.33,0.47,24.0,0.0,bending1,0
107500,42.75,0.83,12.0,0.0,23.5,0.5,bending1,0
107750,42.75,0.43,12.25,0.43,23.5,0.5,bending1,0
108000,42.75,0.83,12.4,0.49,23.8,0.4,bending1,0
108250,42.75,0.43,12.0,0.0,23.67,0.47,bending1,0
108500,43.0,0.82,11.25,1.3,24.0,0.0,bending1,0
108750,43.67,0.47,8.5,0.5,25.0,1.0,bending1,0
109000,43.67,0.47,10.0,1.41,24.75,0.83,bending1,0
109250,44.25,0.83,12.0,0.0,24.0,0.0,bending1,0
109500,43.75,0.43,12.25,0.43,24.0,0.0,bending1,0
109750,43.25,0.83,13.0,0.71,24.0,0.0,bending1,0
110000,43.0,0.0,12.25,0.43,24.0,0.0,bending1,0
110250,43.0,0.0,12.0,0.0,24.0,0.0,bending1,0
110500,43.25,0.43,12.0,0.0,24.0,0.0,bending1,0
110750,43.25,0.83,12.0,0.0,24.0,0.0,bending1,0
111000,43.25,0.83,12.75,0.83,24.0,0.0,bending1,0
111250,43.25,0.43,14.0,0.0,24.0,0.0,bending1,0
111500,42.75,0.83,12.25,0.43,24.0,0.0,bending1,0
111750,43.0,0.71,12.5,0.87,23.75,0.43,bending1,0
112000,43.67,0.47,12.0,0.0,24.0,0.0,bending1,0
112250,42.67,0.47,11.33,0.47,24.0,0.0,bending1,0
112500,42.5,0.5,11.75,0.43,23.5,0.5,bending1,0
112750,43.0,1.0,13.5,1.12,23.0,0.71,bending1,0
113000,42.5,0.5,15.0,0.71,22.0,0.71,bending1,0
113250,42.75,0.43,15.0,0.0,21.5,0.5,bending1,0
113500,42.75,0.43,15.75,0.43,21.5,0.5,bending1,0
113750,42.75,0.83,16.5,0.5,21.0,0.0,bending1,0
114000,42.75,0.83,17.0,0.0,21.25,0.43,bending1,0
114250,43.0,0.82,17.75,0.43,21.0,0.0,bending1,0
114500,42.75,0.43,17.0,0.0,21.25,0.43,bending1,0
114750,43.0,0.71,17.0,0.0,21.0,0.0,bending1,0
115000,43.0,0.71,17.0,0.0,21.75,0.83,bending1,0
115250,43.5,0.5,16.5,0.5,22.0,0.71,bending1,0
115500,43.0,0.0,14.5,1.12,23.67,0.47,bending1,0
115750,43.0,0.71,15.5,2.29,20.5,1.8,bending1,0
116000,42.33,0.47,16.67,1.25,20.0,1.22,bending1,0
